id,mot,contains,restant
842,marcillac,2,26433
843,montmartin,2,26431
844,chalaronne,0,26431
845,germigny,2,26429
846,domevre,0,26429
847,falaise,3,26426
848,germier,0,26426
849,loisy,3,26423
850,vie,0,26423
851,catherine,0,26423
852,oisy,3,26420
853,chastel,3,26417
854,catillon,1,26416
855,gorgon,0,26416
856,chatres,3,26413
857,arnac,2,26411
858,franqueville,3,26408
859,sere,4,26404
860,vaulx,4,26400
861,cailly,1,26399
862,nicolasla,0,26399
863,thouet,0,26399
864,française,0,26399
865,barbe,1,26398
866,cluses,2,26396
867,lieu,0,26396
868,latour,2,26394
869,gonneville,1,26393
870,han,0,26393
871,vannes,1,26392
872,lugny,3,26389
873,chassagne,3,26386
874,mazeres,3,26383
875,ez,0,26383
876,montmirail,2,26381
877,moissac,2,26379
878,grigny,3,26376
879,amant,0,26376
880,loc,3,26373
881,urbain,0,26373
882,andilly,4,26369
883,joseph,0,26369
884,aiguillon,2,26367
885,noye,0,26367
886,prunay,2,26365
887,dammartin,1,26364
888,mauves,1,26363
889,usson,1,26362
890,florentin,1,26361
891,vars,3,26358
892,croisilles,4,26354
893,mayenne,1,26353
894,crecy,1,26352
895,ligny,2,26350
896,mere,2,26348
897,vezere,0,26348
898,mercey,1,26347
899,monsegur,4,26343
900,marest,2,26341
901,bannes,4,26337
902,thomas,1,26336
903,crouy,1,26335
904,cote,2,26333
905,tholon,0,26333
906,cambrai,1,26332
907,amfreville,3,26329
908,suradour,3,26326
909,pujols,3,26323
910,quintin,3,26320
911,porte,2,26318
912,calonne,2,26316
913,calais,3,26313
914,thorey,2,26311
915,germainpres,0,26311
916,mauvezin,3,26308
917,biron,3,26305
918,thorigny,2,26303
919,agnes,0,26303
920,maria,0,26303
921,marcy,3,26300
922,madeleine,3,26297
923,lachamp,2,26295
924,revel,4,26291
925,bernay,3,26288
926,ry,1,26287
927,moussy,3,26284
928,mericourt,3,26281
929,haucourt,4,26277
930,coucy,1,26276
931,pargny,2,26274
932,fraisse,1,26273
933,dannemarie,3,26270
934,grezes,4,26266
935,perreux,2,26264
936,brecy,3,26261
937,martinbois,0,26261
